timestamp,hour,day_of_week,month,weather_condition,is_holiday,traffic_volume
2025-01-26 10:00:00,10,6,1,Cloudy,0,2439
2024-06-04 22:00:00,22,1,6,Light Rain,0,1376
2024-04-11 23:00:00,23,3,4,Clear,0,1451
2024-08-26 11:00:00,11,0,8,Light Rain,0,4050
2025-01-09 11:00:00,11,3,1,Clear,1,1745
2024-09-28 18:00:00,18,5,9,Clear,0,4035
2024-05-11 05:00:00,5,5,5,Clear,0,1113
2024-04-29 20:00:00,20,0,4,Cloudy,0,2395
2024-09-03 10:00:00,10,1,9,Cloudy,0,3545
2024-11-18 16:00:00,16,0,11,Light Rain,0,5456
2024-08-25 12:00:00,12,6,8,Heavy Rain,0,1961
2024-07-14 09:00:00,9,6,7,Fog,1,1677
2024-03-15 04:00:00,4,4,3,Fog,0,846
2025-01-06 00:00:00,0,0,1,Cloudy,0,1102
2024-06-30 15:00:00,15,6,6,Clear,0,3579
2024-11-18 04:00:00,4,0,11,Light Rain,0,635
2024-06-07 02:00:00,2,4,6,Light Rain,0,1037
2024-05-20 10:00:00,10,0,5,Fog,0,3745
2024-09-07 13:00:00,13,5,9,Light Rain,0,1767
2024-08-29 19:00:00,19,3,8,Snow,0,1932
2024-12-31 18:00:00,18,1,12,Snow,0,3090
2025-01-13 05:00:00,5,0,1,Clear,0,1067
2024-05-07 05:00:00,5,1,5,Cloudy,0,1194
2024-05-17 00:00:00,0,4,5,Cloudy,1,640
2024-04-17 21:00:00,21,2,4,Clear,0,2916
2024-12-01 17:00:00,17,6,12,Fog,0,3189
2024-07-10 03:00:00,3,2,7,Heavy Rain,0,1111
2024-01-02 09:00:00,9,1,1,Fog,1,2194
2024-09-23 04:00:00,4,0,9,Clear,0,1165
2024-10-26 18:00:00,18,5,10,Clear,0,4417
2024-12-15 01:00:00,1,6,12,Light Rain,0,607
2024-07-19 16:00:00,16,4,7,Clear,1,3243
2024-02-07 12:00:00,12,2,2,Fog,0,2310
2024-02-01 21:00:00,21,3,2,Heavy Rain,0,2347
2024-11-10 14:00:00,14,6,11,Clear,1,1875
